feature             , ic, in, tc, tn
as_slice            ,  1,  1,  1,  1
as_ptr              ,  1,  1,  1,  1
as_mut_ptr          ,  1,  1,  1,  1
as_non_null         ,  1,  1,  1,  1
deref               ,  1,  1,  1,  1
deref_mut           ,  1,  1,  1,  1
push                ,  1,  1,  1,  1
push_mut            ,  1,  1,  1,  1
insert              ,  1,  1,  1,  1
insert_mut          ,  1,  1,  1,  1
pop                 ,  1,  1,  1,  1
pop_if              ,  1,  1,  1,  1
debug               ,  1,  1,  1,  1
from_slice          ,  1,  1,  1,  1
from_array          ,  1,  1,  1,  1
from_array_ref      ,  0,  0,  0,  0
extend_from_slice   ,  1,  1,  1,  1
extend_from_array   ,  1,  1,  1,  1
clear               ,  1,  1,  1,  1
truncate            ,  1,  1,  1,  1
cmp                 ,  0,  0,  0,  0
cmp_slice           ,  0,  0,  0,  0
cmp_array           ,  0,  0,  0,  0
append              ,  0,  0,  0,  0
drain               ,  0,  0,  0,  0
dedup               ,  0,  0,  0,  0
dedup_by            ,  0,  0,  0,  0
dedup_by_key        ,  0,  0,  0,  0
extend_from_within  ,  0,  0,  0,  0
extract_if          ,  0,  0,  0,  0
into_chunks         ,  0,  0,  0,  0
into_flattened      ,  0,  0,  0,  0
push_within_capacity,  0,  0,  0,  0
resize              ,  1,  1,  1,  1
resize_with         ,  1,  1,  1,  1
retain              ,  0,  0,  0,  0
retain_mut          ,  0,  0,  0,  0
shrink_to           ,  0,  0,  0,  0
shrink_to_fit       ,  0,  0,  0,  0
splice              ,  0,  0,  0,  0
split_off           ,  0,  0,  0,  0


